322 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
143 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
674 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
035 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
579 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
401 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
940 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
034 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
869 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
598 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
372 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
064 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
788 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
396 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
161 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
132 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
659 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
425 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
134 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
219 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
669 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
386 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
166 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
075 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
540 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
231 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
907 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
006 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
453 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
240 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
033 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
154 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
506 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
210 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
193 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
633 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
344 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
271 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
911 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
938 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
750 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
329 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
801 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
312 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
028 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
982 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
540 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
909 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
649 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
428 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
739 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
854 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
098 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
272 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
411 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
802 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
946 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
864 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
622 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
792 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
965 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
198 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
436 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
589 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
775 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
864 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
483 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
187 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
907 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
637 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
816 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
624 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
735 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
904 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
782 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
887 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
006 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
315 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
250 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
386 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
790 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
794 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
040 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
141 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
388 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
324 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
828 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
337 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
579 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
683 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
