Type|RFS|StartDate
Start|2023-07-28 16:32:05,221|RFS-1-7811156714
Start|2023-07-28 16:32:53,311|RFS-1-7811156844
Start|2023-07-28 16:32:58,663|RFS-1-7811156894
Start|2023-07-28 16:33:01,165|RFS-1-7811156924
Start|2023-07-28 16:33:03,688|RFS-1-7811158954
Start|2023-07-28 16:33:06,174|RFS-1-7811158984
Start|2023-07-28 16:33:08,665|RFS-1-7811159024
Start|2023-07-28 16:33:12,970|RFS-1-7811159054
Start|2023-07-28 16:33:15,119|RFS-1-7811159084
Start|2023-07-28 16:33:17,285|RFS-1-7811159114
Start|2023-07-28 16:33:19,495|RFS-1-7811159144
Start|2023-07-28 16:33:23,221|RFS-1-7811159184
Start|2023-07-28 16:33:28,244|RFS-1-7811159214
Start|2023-07-28 16:33:30,345|RFS-1-7811159244
Start|2023-07-28 16:33:32,434|RFS-1-7811159274
Start|2023-07-28 16:33:34,494|RFS-1-7811159304
Start|2023-07-28 16:33:36,617|RFS-1-7811159334
Start|2023-07-28 16:33:40,203|RFS-1-7811159374
Start|2023-07-28 16:33:43,360|RFS-1-7811159404
Start|2023-07-28 16:33:47,054|RFS-1-7811159434
Start|2023-07-28 16:33:50,746|RFS-1-7811159464
Start|2023-07-28 16:33:54,602|RFS-1-7811159504
Start|2023-07-28 16:33:58,362|RFS-1-7811159534
Start|2023-07-28 16:34:01,974|RFS-1-7811159564
Start|2023-07-28 16:34:05,652|RFS-1-7811159594
Start|2023-07-28 16:34:09,320|RFS-1-7811159624
Start|2023-07-28 16:34:13,469|RFS-1-7811159664
Start|2023-07-28 16:34:17,183|RFS-1-7811159694
Start|2023-07-28 16:34:20,864|RFS-1-7811159724
Start|2023-07-28 16:34:24,616|RFS-1-7811159754
Start|2023-07-28 16:34:28,535|RFS-1-7811159794
Start|2023-07-28 16:34:32,197|RFS-1-7811159824
Start|2023-07-28 16:34:35,866|RFS-1-7811159854
Start|2023-07-28 16:34:39,527|RFS-1-7811159884
Start|2023-07-28 16:34:43,281|RFS-1-7811159924
Start|2023-07-28 16:34:45,565|RFS-1-7811159954
Start|2023-07-28 16:34:47,836|RFS-1-7811159984
Start|2023-07-28 16:34:50,155|RFS-1-7811160014
Start|2023-07-28 16:34:52,472|RFS-1-7811160044
Start|2023-07-28 16:34:58,772|RFS-1-7811160084
Start|2023-07-28 16:35:01,267|RFS-1-7811160114
Start|2023-07-28 16:35:03,909|RFS-1-7811160144
Start|2023-07-28 16:35:06,586|RFS-1-7811160174
Start|2023-07-28 16:35:10,370|RFS-1-7811160204
Start|2023-07-28 16:36:10,193|RFS-1-7811160274
Start|2023-07-28 16:36:12,687|RFS-1-7811160304
