InvokeID|PayloadOrResponseCode|StartDate|RFS|EndDate
917|txnType|2023-07-28 15:12:14,322|RFS-1-7811140234|2023-07-28 15:12:17,448
918|txnType|2023-07-28 15:12:18,143|RFS-1-7811140264|2023-07-28 15:12:19,964
919|txnType|2023-07-28 15:12:20,674|RFS-1-7811140294|2023-07-28 15:12:22,573
920|txnType|2023-07-28 15:12:27,035|RFS-1-7811140324|2023-07-28 15:12:28,966
921|txnType|2023-07-28 15:12:29,579|RFS-1-7811140364|2023-07-28 15:12:32,729
922|txnType|2023-07-28 15:12:33,401|RFS-1-7811140394|2023-07-28 15:12:35,286
923|txnType|2023-07-28 15:12:35,940|RFS-1-7811140424|2023-07-28 15:12:39,050
924|txnType|2023-07-28 15:12:42,034|RFS-1-7811140454|2023-07-28 15:12:44,185
925|txnType|2023-07-28 15:12:44,869|RFS-1-7811140484|2023-07-28 15:12:47,954
926|txnType|2023-07-28 15:12:48,598|RFS-1-7811140524|2023-07-28 15:12:51,694
927|txnType|2023-07-28 15:12:52,372|RFS-1-7811140554|2023-07-28 15:12:55,388
928|txnType|2023-07-28 15:12:57,064|RFS-1-7811140584|2023-07-28 15:12:59,120
929|txnType|2023-07-28 15:12:59,788|RFS-1-7811140614|2023-07-28 15:13:01,687
930|txnType|2023-07-28 15:13:02,396|RFS-1-7811140644|2023-07-28 15:13:05,443
931|txnType|2023-07-28 15:13:06,161|RFS-1-7811140684|2023-07-28 15:13:08,010
932|txnType|2023-07-28 15:13:12,132|RFS-1-7811140714|2023-07-28 15:13:13,997
933|txnType|2023-07-28 15:13:14,659|RFS-1-7811140744|2023-07-28 15:13:17,725
934|txnType|2023-07-28 15:13:18,425|RFS-1-7811140774|2023-07-28 15:13:21,487
935|txnType|2023-07-28 15:13:22,134|RFS-1-7811140804|2023-07-28 15:13:25,192
936|txnType|2023-07-28 15:13:27,219|RFS-1-7811140844|2023-07-28 15:13:29,020
937|txnType|2023-07-28 15:13:29,669|RFS-1-7811140874|2023-07-28 15:13:32,727
938|txnType|2023-07-28 15:13:33,386|RFS-1-7811140904|2023-07-28 15:13:36,487
939|txnType|2023-07-28 15:13:37,166|RFS-1-7811140934|2023-07-28 15:13:40,162
940|txnType|2023-07-28 15:13:42,075|RFS-1-7811140974|2023-07-28 15:13:43,874
941|txnType|2023-07-28 15:13:44,540|RFS-1-7811141004|2023-07-28 15:13:47,557
942|txnType|2023-07-28 15:13:48,231|RFS-1-7811141034|2023-07-28 15:13:51,252
943|txnType|2023-07-28 15:13:51,907|RFS-1-7811141064|2023-07-28 15:13:54,954
944|txnType|2023-07-28 15:13:57,006|RFS-1-7811141104|2023-07-28 15:13:58,814
945|txnType|2023-07-28 15:13:59,453|RFS-1-7811141134|2023-07-28 15:14:02,567
946|txnType|2023-07-28 15:14:03,240|RFS-1-7811141164|2023-07-28 15:14:06,309
947|txnType|2023-07-28 15:14:07,033|RFS-1-7811141194|2023-07-28 15:14:10,029
948|txnType|2023-07-28 15:14:12,154|RFS-1-7811141234|2023-07-28 15:14:15,859
949|txnType|2023-07-28 15:14:16,506|RFS-1-7811141264|2023-07-28 15:14:19,553
950|txnType|2023-07-28 15:14:20,210|RFS-1-7811141294|2023-07-28 15:14:23,426
951|txnType|2023-07-28 15:14:27,193|RFS-1-7811141334|2023-07-28 15:14:30,939
952|txnType|2023-07-28 15:14:31,633|RFS-1-7811141364|2023-07-28 15:14:34,652
953|txnType|2023-07-28 15:14:35,344|RFS-1-7811141394|2023-07-28 15:14:38,429
954|txnType|2023-07-28 15:14:42,271|RFS-1-7811141424|2023-07-28 15:14:44,279
955|txnType|2023-07-28 15:14:44,911|RFS-1-7811141454|2023-07-28 15:14:48,281
956|txnType|2023-07-28 15:14:48,938|RFS-1-7811141494|2023-07-28 15:14:52,104
957|txnType|2023-07-28 15:14:52,750|RFS-1-7811141524|2023-07-28 15:14:54,623
958|txnType|2023-07-28 15:14:55,329|RFS-1-7811141554|2023-07-28 15:14:57,149
959|txnType|2023-07-28 15:14:57,801|RFS-1-7811141584|2023-07-28 15:14:59,631
960|txnType|2023-07-28 15:15:00,312|RFS-1-7811141614|2023-07-28 15:15:02,344
961|txnType|2023-07-28 15:15:03,028|RFS-1-7811141654|2023-07-28 15:15:06,236
962|txnType|2023-07-28 15:15:06,982|RFS-1-7811141684|2023-07-28 15:15:08,960
963|txnType|2023-07-28 15:15:11,540|RFS-1-7811141714|2023-07-28 15:15:13,436
964|txnType|2023-07-28 15:15:13,909|RFS-1-7811141744|2023-07-28 15:15:17,213
965|txnType|2023-07-28 15:15:17,649|RFS-1-7811141774|2023-07-28 15:15:20,989
966|txnType|2023-07-28 15:15:21,428|RFS-1-7811141814|2023-07-28 15:15:24,778
967|txnType|2023-07-28 15:15:26,739|RFS-1-7811141844|2023-07-28 15:15:28,482
968|txnType|2023-07-28 15:15:29,854|RFS-1-7811141874|2023-07-28 15:15:31,614
969|txnType|2023-07-28 15:15:32,098|RFS-1-7811141904|2023-07-28 15:15:33,825
970|txnType|2023-07-28 15:15:34,272|RFS-1-7811141934|2023-07-28 15:15:35,981
971|txnType|2023-07-28 15:15:36,411|RFS-1-7811141964|2023-07-28 15:15:38,094
972|txnType|2023-07-28 15:15:41,802|RFS-1-7811142004|2023-07-28 15:15:43,491
973|txnType|2023-07-28 15:15:43,946|RFS-1-7811142034|2023-07-28 15:15:47,421
974|txnType|2023-07-28 15:15:47,864|RFS-1-7811142064|2023-07-28 15:15:51,178
975|txnType|2023-07-28 15:15:51,622|RFS-1-7811142094|2023-07-28 15:15:54,897
976|txnType|2023-07-28 15:15:56,792|RFS-1-7811142134|2023-07-28 15:15:58,466
977|txnType|2023-07-28 15:15:58,965|RFS-1-7811142164|2023-07-28 15:16:00,665
978|txnType|2023-07-28 15:16:01,198|RFS-1-7811142194|2023-07-28 15:16:02,949
979|txnType|2023-07-28 15:16:03,436|RFS-1-7811142224|2023-07-28 15:16:05,127
980|txnType|2023-07-28 15:16:05,589|RFS-1-7811142254|2023-07-28 15:16:07,312
981|txnType|2023-07-28 15:16:07,775|RFS-1-7811142284|2023-07-28 15:16:09,409
982|txnType|2023-07-28 15:16:09,864|RFS-1-7811142324|2023-07-28 15:16:13,064
983|txnType|2023-07-28 15:16:13,483|RFS-1-7811142354|2023-07-28 15:16:16,761
984|txnType|2023-07-28 15:16:17,187|RFS-1-7811142384|2023-07-28 15:16:20,491
985|txnType|2023-07-28 15:16:20,907|RFS-1-7811142414|2023-07-28 15:16:24,195
986|txnType|2023-07-28 15:16:26,637|RFS-1-7811142454|2023-07-28 15:16:28,397
987|txnType|2023-07-28 15:16:28,816|RFS-1-7811142484|2023-07-28 15:16:32,130
988|txnType|2023-07-28 15:16:32,624|RFS-1-7811142514|2023-07-28 15:16:34,309
989|txnType|2023-07-28 15:16:34,735|RFS-1-7811142544|2023-07-28 15:16:36,463
990|txnType|2023-07-28 15:16:36,904|RFS-1-7811142574|2023-07-28 15:16:38,600
991|txnType|2023-07-28 15:16:41,782|RFS-1-7811142614|2023-07-28 15:16:43,459
992|txnType|2023-07-28 15:16:43,887|RFS-1-7811142644|2023-07-28 15:16:45,569
993|txnType|2023-07-28 15:16:46,006|RFS-1-7811142674|2023-07-28 15:16:47,884
994|txnType|2023-07-28 15:16:48,315|RFS-1-7811142704|2023-07-28 15:16:50,002
996|400||RFS-1-7811143274|2023-07-28 15:31:04,527
998|200||RFS-1-7811143304|2023-07-28 15:31:04,696
998|200||RFS-1-7811143304|2023-07-28 15:31:04,696
1001|txnType|2023-07-28 15:31:05,388|RFS-1-7811143354|2023-07-28 15:31:07,923
1002|txnType|2023-07-28 15:31:12,324|RFS-1-7811143374|2023-07-28 15:31:14,103
1003|txnType|2023-07-28 15:31:14,828|RFS-1-7811143404|2023-07-28 15:31:16,642
1004|txnType|2023-07-28 15:31:17,337|RFS-1-7811143424|2023-07-28 15:31:19,096
1005|txnType|2023-07-28 15:31:19,579|RFS-1-7811143444|2023-07-28 15:31:21,263
1006|txnType|2023-07-28 15:31:21,683|RFS-1-7811143464|2023-07-28 15:31:23,394
1007|txnType|2023-07-28 15:31:26,607|RFS-1-7811143484|2023-07-28 15:31:28,400
1008|txnType|2023-07-28 15:31:28,823|RFS-1-7811143504|2023-07-28 15:31:30,489
1009|txnType|2023-07-28 15:31:30,918|RFS-1-7811143534|2023-07-28 15:31:32,987
1010|txnType|2023-07-28 15:31:33,420|RFS-1-7811143554|2023-07-28 15:31:35,164
1011|txnType|2023-07-28 15:31:35,584|RFS-1-7811143574|2023-07-28 15:31:37,267
1012|txnType|2023-07-28 15:31:37,685|RFS-1-7811143594|2023-07-28 15:31:39,358
1013|txnType|2023-07-28 15:31:39,774|RFS-1-7811143614|2023-07-28 15:31:41,439
1014|400||RFS-1-7811143694|2023-07-28 15:32:45,897
1016|200||RFS-1-7811143724|2023-07-28 15:32:45,992
1017|200||RFS-1-7811143754|2023-07-28 15:32:46,068
1019|txnType|2023-07-28 15:32:46,704|RFS-1-7811143774|2023-07-28 15:32:48,561
1020|txnType|2023-07-28 15:32:49,208|RFS-1-7811143804|2023-07-28 15:32:50,971
1021|txnType|2023-07-28 15:32:51,653|RFS-1-7811143824|2023-07-28 15:32:53,417
1015|400||RFS-1-7811143844|2023-07-28 15:32:58,954
1023|txnType|2023-07-28 15:32:59,841|RFS-1-7811143864|2023-07-28 15:33:01,635
1024|txnType|2023-07-28 15:33:02,367|RFS-1-7811143894|2023-07-28 15:33:04,223
1025|txnType|2023-07-28 15:33:04,924|RFS-1-7811143914|2023-07-28 15:33:06,769
1026|txnType|2023-07-28 15:33:07,440|RFS-1-7811143934|2023-07-28 15:33:09,241
1027|txnType|2023-07-28 15:33:11,814|RFS-1-7811144954|2023-07-28 15:33:13,673
1028|txnType|2023-07-28 15:33:14,361|RFS-1-7811144974|2023-07-28 15:33:16,227
1029|txnType|2023-07-28 15:33:16,925|RFS-1-7811144994|2023-07-28 15:33:18,813
1030|txnType|2023-07-28 15:33:19,500|RFS-1-7811145014|2023-07-28 15:33:21,411
1031|txnType|2023-07-28 15:33:22,124|RFS-1-7811145044|2023-07-28 15:33:24,037
1032|txnType|2023-07-28 15:33:26,764|RFS-1-7811145064|2023-07-28 15:33:28,470
1033|400||RFS-1-7811145144|2023-07-28 15:34:31,111
1035|200||RFS-1-7811145174|2023-07-28 15:34:31,149
1036|200||RFS-1-7811145204|2023-07-28 15:34:31,216
1038|txnType|2023-07-28 15:34:31,879|RFS-1-7811145224|2023-07-28 15:34:34,794
1039|txnType|2023-07-28 15:34:35,447|RFS-1-7811145244|2023-07-28 15:34:37,258
1040|txnType|2023-07-28 15:34:37,940|RFS-1-7811145274|2023-07-28 15:34:39,708
1034|400||RFS-1-7811145294|2023-07-28 15:34:42,257
1042|txnType|2023-07-28 15:34:42,903|RFS-1-7811145314|2023-07-28 15:34:45,956
1043|txnType|2023-07-28 15:34:46,650|RFS-1-7811145334|2023-07-28 15:34:48,484
1044|txnType|2023-07-28 15:34:49,179|RFS-1-7811145354|2023-07-28 15:34:50,955
1045|txnType|2023-07-28 15:34:51,619|RFS-1-7811145374|2023-07-28 15:34:53,433
1046|txnType|2023-07-28 15:34:57,153|RFS-1-7811145404|2023-07-28 15:34:58,865
1047|txnType|2023-07-28 15:34:59,491|RFS-1-7811145424|2023-07-28 15:35:01,281
1048|txnType|2023-07-28 15:35:01,990|RFS-1-7811145444|2023-07-28 15:35:03,832
1049|txnType|2023-07-28 15:35:04,598|RFS-1-7811145464|2023-07-28 15:35:06,443
1050|txnType|2023-07-28 15:35:07,169|RFS-1-7811145484|2023-07-28 15:35:09,021
1051|txnType|2023-07-28 15:35:12,225|RFS-1-7811145514|2023-07-28 15:35:14,017
1052|400||RFS-1-7811145584|2023-07-28 15:36:18,145
1054|200||RFS-1-7811145614|2023-07-28 15:36:18,185
1055|200||RFS-1-7811145644|2023-07-28 15:36:18,339
1057|txnType|2023-07-28 15:36:18,785|RFS-1-7811145674|2023-07-28 15:36:20,502
1058|txnType|2023-07-28 15:36:20,964|RFS-1-7811145694|2023-07-28 15:36:22,676
1053|400||RFS-1-7811145714|2023-07-28 15:36:28,630
1060|txnType|2023-07-28 15:36:29,058|RFS-1-7811145734|2023-07-28 15:36:30,803
1061|txnType|2023-07-28 15:36:31,220|RFS-1-7811145764|2023-07-28 15:36:32,980
1062|txnType|2023-07-28 15:36:33,415|RFS-1-7811145784|2023-07-28 15:36:35,085
1063|txnType|2023-07-28 15:36:35,528|RFS-1-7811145804|2023-07-28 15:36:37,249
1064|txnType|2023-07-28 15:36:37,678|RFS-1-7811145824|2023-07-28 15:36:39,410
1065|txnType|2023-07-28 15:36:39,867|RFS-1-7811145844|2023-07-28 15:36:41,625
1066|txnType|2023-07-28 15:36:42,111|RFS-1-7811145864|2023-07-28 15:36:43,815
1067|txnType|2023-07-28 15:36:44,261|RFS-1-7811145884|2023-07-28 15:36:45,971
1068|txnType|2023-07-28 15:36:46,398|RFS-1-7811145904|2023-07-28 15:36:48,042
1069|txnType|2023-07-28 15:36:48,496|RFS-1-7811145934|2023-07-28 15:36:50,220
1070|txnType|2023-07-28 15:36:50,667|RFS-1-7811145954|2023-07-28 15:36:52,347
1071|txnType|2023-07-28 15:36:52,779|RFS-1-7811145974|2023-07-28 15:36:54,513
1072|txnType|2023-07-28 15:36:54,951|RFS-1-7811145994|2023-07-28 15:36:56,691
1073|txnType|2023-07-28 15:36:57,117|RFS-1-7811146014|2023-07-28 15:36:58,855
1074|400||RFS-1-7811146094|2023-07-28 15:38:01,383
1076|200||RFS-1-7811146124|2023-07-28 15:38:01,425
1077|200||RFS-1-7811146154|2023-07-28 15:38:01,537
1079|txnType|2023-07-28 15:38:01,998|RFS-1-7811146174|2023-07-28 15:38:04,988
1080|txnType|2023-07-28 15:38:05,476|RFS-1-7811146194|2023-07-28 15:38:07,146
1081|txnType|2023-07-28 15:38:07,609|RFS-1-7811146224|2023-07-28 15:38:10,348
1075|400||RFS-1-7811146244|2023-07-28 15:38:12,518
1083|txnType|2023-07-28 15:38:13,214|RFS-1-7811146264|2023-07-28 15:38:16,340
1084|txnType|2023-07-28 15:38:16,988|RFS-1-7811146284|2023-07-28 15:38:18,780
1085|txnType|2023-07-28 15:38:19,410|RFS-1-7811146304|2023-07-28 15:38:21,180
1086|txnType|2023-07-28 15:38:21,803|RFS-1-7811146334|2023-07-28 15:38:24,605
1087|txnType|2023-07-28 15:38:27,226|RFS-1-7811146354|2023-07-28 15:38:29,059
1088|txnType|2023-07-28 15:38:29,699|RFS-1-7811146374|2023-07-28 15:38:31,488
1089|txnType|2023-07-28 15:38:32,107|RFS-1-7811146394|2023-07-28 15:38:33,915
1090|txnType|2023-07-28 15:38:34,544|RFS-1-7811146414|2023-07-28 15:38:36,336
1091|txnType|2023-07-28 15:38:36,962|RFS-1-7811146444|2023-07-28 15:38:38,724
1092|txnType|2023-07-28 15:38:41,999|RFS-1-7811146464|2023-07-28 15:38:43,756
1093|400||RFS-1-7811146544|2023-07-28 15:39:48,034
1095|200||RFS-1-7811146574|2023-07-28 15:39:48,176
1096|200||RFS-1-7811146594|2023-07-28 15:39:48,217
1098|txnType|2023-07-28 15:39:48,755|RFS-1-7811146624|2023-07-28 15:39:51,653
1099|txnType|2023-07-28 15:39:52,220|RFS-1-7811146654|2023-07-28 15:39:53,898
1094|400||RFS-1-7811146674|2023-07-28 15:39:58,680
1101|txnType|2023-07-28 15:39:59,233|RFS-1-7811146694|2023-07-28 15:40:01,010
1102|txnType|2023-07-28 15:40:01,613|RFS-1-7811146714|2023-07-28 15:40:03,581
1103|txnType|2023-07-28 15:40:04,235|RFS-1-7811146734|2023-07-28 15:40:05,987
1104|txnType|2023-07-28 15:40:06,573|RFS-1-7811146754|2023-07-28 15:40:08,327
