StartDate|EndDate
2023-07-28 17:15:00,001|RFS-1-7811140484|
2023-07-28 18:15:00,001|RFS-1-7811153314|
2023-07-28 19:15:00,000|RFS-1-7811141454|
2023-07-28 20:15:00,001|RFS-1-7811164384|
2023-07-28 21:15:00,001|RFS-1-7811162994|
2023-07-28 22:15:00,001|RFS-1-7811163644|
2023-07-28 23:15:00,002|RFS-1-7811163644|
2023-07-29 00:15:00,002|RFS-1-7811163644|
2023-07-29 01:15:00,001|RFS-1-7811163644|
2023-07-29 13:15:00,001|RFS-1-7811163644|
2023-07-29 14:15:00,001|RFS-1-7811163644|
2023-07-29 15:15:00,001|RFS-1-7811163644|
2023-07-29 16:15:00,001|RFS-1-7811163644|
2023-07-29 17:15:00,002|RFS-1-7811163644|
2023-07-29 18:15:00,001|RFS-1-7811163644|
2023-07-29 19:15:00,001|RFS-1-7811163644|
2023-07-29 20:15:00,001|RFS-1-7811163644|
2023-07-29 21:15:00,002|RFS-1-7811163644|
2023-07-29 22:15:00,001|RFS-1-7811163644|
2023-07-29 23:15:00,001|RFS-1-7811163644|
2023-07-30 00:15:00,001|RFS-1-7811163644|
2023-07-30 01:15:00,001|RFS-1-7811163644|
2023-07-30 13:15:00,001|RFS-1-7811163644|
2023-07-30 14:15:00,001|RFS-1-7811163644|
2023-07-30 15:15:00,002|RFS-1-7811163644|
2023-07-30 16:15:00,001|RFS-1-7811163644|
2023-07-30 17:15:00,001|RFS-1-7811163644|
2023-07-30 18:15:00,001|RFS-1-7811163644|
2023-07-30 19:15:00,001|RFS-1-7811163644|
2023-07-30 20:15:00,001|RFS-1-7811163644|
2023-07-30 21:15:00,003|RFS-1-7811163644|
2023-07-30 22:15:00,001|RFS-1-7811163644|
2023-07-30 23:15:00,001|RFS-1-7811163644|
2023-07-31 00:15:00,001|RFS-1-7811163644|
2023-07-31 01:15:00,001|RFS-1-7811163644|
2023-07-31 13:15:00,001|RFS-1-7811163644|
2023-07-31 14:15:00,002|RFS-1-7811163644|
2023-07-31 15:15:00,001|RFS-1-7811163644|
2023-07-31 16:15:00,001|RFS-1-7811163644|
2023-07-31 17:15:00,001|RFS-1-7811163644|
2023-07-31 18:15:00,001|RFS-1-7811163644|
2023-07-31 19:15:00,001|RFS-1-7811163644|
2023-07-31 20:15:00,002|RFS-1-7811163644|
2023-07-31 21:15:00,001|RFS-1-7811163644|
2023-07-31 22:15:00,001|RFS-1-7811163644|
2023-07-31 23:15:00,000|RFS-1-7811163644|
2023-08-01 00:15:00,001|RFS-1-7811163644|
2023-08-01 01:15:00,001|RFS-1-7811163644|
2023-08-01 13:15:00,001|RFS-1-7811163644|
2023-08-01 14:15:00,001|RFS-1-7811163644|
2023-08-01 15:15:00,001|RFS-1-7811163644|
2023-08-01 16:15:00,001|RFS-1-7811163644|
